Device,ERU - 01,ERU - 01,ERU - 01,ERU - 01
Point,Exhaust Fan Air Flow Active,Exhaust Fan Speed Output Command,Exhaust Fan Start Stop Command,EA TEMP 4
10/18/17 14:45:00,0,0.437,1,72.5
10/18/17 15:00:00,0,0.406,1,72.6
10/18/17 15:15:00,0,0.401,1,72.3
10/18/17 15:30:00,0,0.436,1,73.1
10/18/17 15:45:00,0,0.505,1,72.5
10/18/17 16:00:00,0,0.582,1,72.9
10/18/17 16:15:00,0,0.583,1,72.5
10/18/17 16:30:00,0,0.55,1,71.6
10/18/17 16:45:00,0,0.532,1,72.2
10/18/17 17:00:00,0,0.485,1,72.8
10/18/17 17:15:00,0,0.428,1,72.6
10/18/17 17:30:00,0,0.399,1,72.7
10/18/17 17:45:00,0,0.509,1,71.7
10/18/17 18:00:00,0,0.623,1,71
10/18/17 18:15:00,0,0.647,1,70.9
10/18/17 18:30:00,0,0.62,1,70.2
10/18/17 18:45:00,0,0.568,1,69.9
10/18/17 19:00:00,0,0.513,1,69
10/18/17 19:15:00,0,0.489,1,68.6
10/18/17 19:30:00,0,0.492,1,68.3
10/18/17 19:45:00,0,0.551,1,68
10/18/17 20:00:00,0,0.508,1,67.7
10/18/17 20:15:00,0,0.54,1,67.5
10/18/17 20:30:00,0,0.539,1,67.3
10/18/17 20:45:00,0,0.53,1,67.1
10/18/17 21:00:00,0,0.537,1,66.9
10/18/17 21:15:00,0,0.551,1,66.6
10/18/17 21:30:00,0,0.562,1,66.4
10/18/17 21:45:00,0,0.592,1,66
10/18/17 22:00:00,0,0.626,1,65.7
10/18/17 22:15:00,0,0.661,1,64.8
10/18/17 22:30:00,0,0.535,1,64.5
10/18/17 22:45:00,0,0.455,1,64.2
10/18/17 23:00:00,0,0.399,1,63.8
10/18/17 23:15:00,0,0.364,1,62.2
10/18/17 23:30:00,0,0.343,1,62.3
10/18/17 23:45:00,0,0.409,1,62.7
10/19/17 0:00:00,0,0.509,1,62.7
