Device,ERU - 01,ERU - 01,ERU - 01,ERU - 01
Point,Exhaust Fan Air Flow Active,Exhaust Fan Speed Output Command,Exhaust Fan Start Stop Command,EA TEMP 4
1/24/18 4:45:00,"10,626.50",0.484,1,42.2
1/24/18 5:00:00,"10,581.10",0.483,1,41.9
1/24/18 5:15:00,"10,641.60",0.483,1,41.7
1/24/18 5:30:00,"10,596.20",0.483,1,41.7
1/24/18 5:45:00,"10,618.90",0.483,1,41.3
1/24/18 6:00:00,"10,626.50",0.485,1,41.5
1/24/18 6:15:00,"10,641.60",0.486,1,41.5
1/24/18 6:30:00,"10,664.10",0.485,1,41.6
1/24/18 6:45:00,"10,626.50",0.486,1,41.6
1/24/18 7:00:00,"10,746.50",0.488,1,41.6
1/24/18 7:15:00,"10,603.80",0.489,1,41.8
1/24/18 7:30:00,"10,776.40",0.49,1,41.9
1/24/18 7:45:00,"10,694.20",0.49,1,42
1/24/18 8:00:00,"10,603.80",0.49,1,42
1/24/18 8:15:00,"10,746.50",0.492,1,42.2
1/24/18 8:30:00,"10,754.00",0.495,1,42.6
1/24/18 8:45:00,"10,701.70",0.495,1,43
1/24/18 9:00:00,"10,960.80",0.496,1,43.6
1/24/18 9:15:00,"11,377.30",0.492,1,45.2
1/24/18 9:30:00,"10,565.90",0.486,1,43.1
1/24/18 9:45:00,"11,363.20",0.486,1,48.2
1/24/18 10:00:00,"11,019.20",0.479,1,44.5
1/24/18 10:15:00,"11,334.90",0.479,1,48.6
1/24/18 10:30:00,"11,264.00",0.477,1,53.8
1/24/18 10:45:00,"10,968.20",0.476,1,54.6
1/24/18 11:00:00,"11,349.10",0.473,1,52.8
1/24/18 11:15:00,"11,062.80",0.472,1,54.3
1/24/18 11:30:00,"10,872.70",0.472,1,57.3
1/24/18 11:45:00,"11,077.30",0.47,1,55.8
1/24/18 12:00:00,"11,363.20",0.47,1,59.1
1/24/18 12:15:00,"10,828.30",0.47,1,62.2
1/24/18 12:30:00,"11,048.30",0.47,1,58.9
1/24/18 12:45:00,"11,178.20",0.47,1,60.4
1/24/18 13:00:00,"10,946.20",0.463,1,63.6
1/24/18 13:15:00,"10,997.40",0.461,1,63.8
1/24/18 13:30:00,"10,783.80",0.448,1,62.7
1/24/18 13:45:00,"11,185.40",0.454,1,62.5
1/24/18 14:00:00,"11,091.80",0.465,1,67
1/24/18 14:15:00,"11,235.40",0.469,1,67
1/24/18 14:30:00,"11,405.50",0.471,1,65.1
1/24/18 14:45:00,"11,306.60",0.476,1,67
1/24/18 15:00:00,"11,447.60",0.482,1,67.4
1/24/18 15:15:00,"11,320.80",0.482,1,68.2
1/24/18 15:30:00,"11,199.70",0.48,1,63.2
1/24/18 15:45:00,"11,106.20",0.476,1,65.6
1/24/18 16:00:00,"11,099.00",0.483,1,66
1/24/18 16:15:00,"11,579.90",0.484,1,67.3
1/24/18 16:30:00,"11,482.60",0.486,1,63.5
1/24/18 16:45:00,"11,026.50",0.488,1,65.5
