Date,Heating Percentage,DAT
2/06 0:15,0,72.5
2/06 0:30,0,72
2/06 0:45,0,72
2/06 1:00,0,72
2/06 1:15,0,71.5
2/06 1:30,0,71.5
2/06 1:45,0,71.5
2/06 2:00,0,71.5
2/06 2:15,0,71.5
2/06 2:30,0,71
2/06 2:45,0,71
2/06 3:00,0,71
2/06 3:15,0,71
2/06 3:30,0,71
2/06 3:45,0,71
2/06 4:00,50,71
2/06 4:15,50,84
2/06 4:30,50,85.5
2/06 4:45,50,86
2/06 5:00,50,86
2/06 5:15,50,86
2/06 5:30,50,85.5
2/06 5:45,50,85
2/06 6:00,50,84.5
2/06 6:15,50,85
2/06 6:30,50,85
2/06 6:45,50,85
2/06 7:00,50,85
2/06 7:15,50,85.5
2/06 7:30,50,85.5
2/06 7:45,50,85.5
2/06 8:00,50,85.5
2/06 8:15,50,85.5
2/06 8:30,50,85.5
2/06 8:45,50,85.5
2/06 9:00,50,85.5
2/06 9:15,50,85.5
2/06 9:30,50,85.5
2/06 9:45,50,86
2/06 10:00,50,86
2/06 10:15,50,86
2/06 10:30,50,86
2/06 10:45,50,86
2/06 11:00,50,86
2/06 11:15,50,86
2/06 11:30,50,82.5
2/06 11:45,50,83
2/06 12:00,50,75.5
2/06 12:15,50,77
2/06 12:30,50,84
2/06 12:45,50,75.5
2/06 13:00,50,75.5
2/06 13:15,50,74.5
2/06 13:30,50,82.5
2/06 13:45,50,74.5
2/06 14:00,50,75.5
2/06 14:15,50,74.5
2/06 14:30,50,83.5
2/06 14:45,50,75
2/06 15:00,50,82.5
2/06 15:15,50,74.5
2/06 15:30,50,85
2/06 15:45,50,74.5
2/06 16:00,50,74.5
2/06 16:15,50,74.5
2/06 16:30,50,74.5
2/06 16:45,50,75
2/06 17:00,50,75
2/06 17:15,50,75
2/06 17:30,50,75
2/06 17:45,50,75
2/06 18:00,50,75
2/06 18:15,50,75
2/06 18:30,50,75.5
2/06 18:45,50,75
2/06 19:00,50,75
2/06 19:15,50,75
2/06 19:30,50,75
2/06 19:45,50,75
2/06 20:00,50,75
2/06 20:15,50,75
2/06 20:30,50,75
2/06 20:45,50,75
2/06 21:00,0,75
2/06 21:15,0,74.5
2/06 21:30,0,74.5
2/06 21:45,0,74.5
2/06 22:00,0,74.5
2/06 22:15,0,74
2/06 22:30,0,74
2/06 22:45,0,74
2/06 23:00,0,73.5
2/06 23:15,0,73.5
2/06 23:30,0,73.5
2/06 23:45,0,73
